"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,timestamp
Ireland,"2,415",+294,36,+14,5,"2,374",59,489,7,Feb 28,20200329000131
Malaysia,"2,320",+159,27,+1,320,"1,973",54,72,0.8,Jan 24,20200329000131
Denmark,"2,201",+155,65,+13,1,"2,135",109,380,11,Feb 26,20200329000131
Chile,"1,909",+299,6,+1,61,"1,842",7,100,0.3,Mar 02,20200329000131
Luxembourg,"1,831",+226,18,+3,40,"1,773",25,"2,925",29,Feb 28,20200329000131
Ecuador,"1,823",+196,48,+7,3,"1,772",58,103,3,Feb 28,20200329000131
Japan,"1,693",+194,52,+3,404,"1,237",56,13,0.4,Jan 14,20200329000131
Poland,"1,638",+249,18,+2,7,"1,613",3,43,0.5,Mar 03,20200329000131
Pakistan,"1,495",+122,12,+1,29,"1,454",7,7,0.05,Feb 25,20200329000131
Romania,"1,452",+160,37,+11,139,"1,276",34,75,2,Feb 25,20200329000131
Russia,"1,264",+228,4,,49,"1,211",8,9,0.03,Jan 30,20200329000131
Thailand,"1,245",+109,6,+1,97,"1,142",11,18,0.09,Jan 12,20200329000131
Saudi Arabia,"1,203",+99,4,+1,37,"1,162",6,35,0.1,Mar 01,20200329000131
South Africa,"1,187",+17,1,,31,"1,155",7,20,0.02,Mar 04,20200329000131
Finland,"1,167",+126,9,+2,10,"1,148",32,211,2,Jan 28,20200329000131
Indonesia,"1,155",+109,102,+15,59,994,,4,0.4,Mar 01,20200329000131
Philippines,"1,075",+272,68,+14,35,972,1,10,0.6,Jan 29,20200329000131
Greece,"1,061",+95,32,+4,52,977,66,102,3,Feb 25,20200329000131
India,987,+100,24,+4,84,879,,0.7,0.02,Jan 29,20200329000131
Iceland,963,+73,2,,114,847,18,"2,822",6,Feb 27,20200329000131
Singapore,802,+70,2,,198,602,19,137,0.3,Jan 22,20200329000131
Panama,786,,14,,2,770,20,182,3,Mar 09,20200329000131
Argentina,745,+156,19,+6,72,654,,16,0.4,Mar 02,20200329000131
Dominican Republic,719,+138,28,+8,3,688,,66,3,Feb 29,20200329000131
Mexico,717,+132,12,+4,4,701,1,6,0.09,Feb 27,20200329000131
Diamond Princess,712,,10,,597,105,15,,,Feb 04,20200329000131
Slovenia,684,+52,9,,10,665,25,329,4,Mar 03,20200329000131
Peru,671,+36,16,+5,16,639,33,20,0.5,Mar 05,20200329000131
Serbia,659,+131,10,+2,42,607,25,75,1,Mar 05,20200329000131
Croatia,657,+71,5,+2,45,607,14,160,1,Feb 24,20200329000131
Estonia,645,+70,1,,20,624,10,486,0.8,Feb 26,20200329000131
Colombia,608,+69,6,,10,592,,12,0.1,Mar 05,20200329000131
Qatar,590,+28,1,+1,45,544,6,205,0.3,Feb 28,20200329000131
Egypt,576,+40,36,+6,121,419,,6,0.4,Feb 13,20200329000131
Hong Kong,560,+41,4,,112,444,5,75,0.5,Jan 22,20200329000131
Iraq,506,+48,42,+2,131,333,,13,1,Feb 21,20200329000131
Bahrain,476,+10,4,,265,207,1,280,2,Feb 23,20200329000131
UAE,468,+63,2,,52,414,2,47,0.2,Jan 28,20200329000131
Algeria,454,+45,29,+3,31,394,,10,0.7,Feb 24,20200329000131
New Zealand,451,+83,,,50,401,2,94,,Feb 27,20200329000131
Lebanon,412,+21,8,,30,374,4,60,1,Feb 20,20200329000131
Armenia,407,+78,1,,30,376,6,137,0.3,Feb 29,20200329000131
Morocco,402,+57,25,+2,12,365,1,11,0.7,Mar 01,20200329000131
Lithuania,394,+36,7,+2,1,386,2,145,3,Feb 27,20200329000131
Ukraine,356,+46,9,+4,5,342,,8,0.2,Mar 02,20200329000131
Hungary,343,+43,11,+1,34,298,6,36,1,Mar 03,20200329000131
Bulgaria,331,+38,7,+4,11,313,8,48,1,Mar 06,20200329000131
Andorra,308,+41,3,,1,304,10,"3,986",39,Mar 01,20200329000131
Latvia,305,+25,,,1,304,3,162,,Mar 01,20200329000131
