0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,20200402,73
Zimbabwe,8,0,1,0,Local transmission,1,,,,,,,,,,20200402,73
Chad,7,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Gabon,7,0,1,0,Imported cases only,5,,,,,,,,,,20200402,73
Liberia,6,3,0,0,Local transmission,0,,,,,,,,,,20200402,73
Cabo Verde,5,0,1,0,Imported cases only,5,,,,,,,,,,20200402,73
Mauritania,5,0,0,0,Imported cases only,4,,,,,,,,,,20200402,73
Botswana,3,0,1,1,Imported cases only,1,,,,,,,,,,20200402,73
Gambia,3,0,1,0,Imported cases only,4,,,,,,,,,,20200402,73
Burundi,2,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Sierra Leone,2,1,0,0,Imported cases only,0,,,,,,,,,,20200402,73
Territories**,,,,,,,,,,,,,,,,20200402,73
Réunion,281,34,0,0,Local transmission,0,,,,,,,,,,20200402,73
Mayotte,116,15,2,2,Local transmission,0,,,,,,,,,,20200402,73
"Subtotal for all 
regions",895 763,72 836,45 514,4923,,,,,,,,,,,,20200402,73
"International 
conveyance (Diamond 
Princess)",712,0,11,0,Local transmission,17,,,,,,,,,,20200402,73
Grand total,896 475,72 836,45 525,4923,,,,,,,,,,,,20200402,73
,,,,,,,,,,,,,,,,20200402,73
,,,,,,,,,,,,,,,,20200402,73
,,,,,,,,,,,,,,,,20200402,73
