0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
"United Republic of 
Tanzania",1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Territories**,,,,,,,,,,,,,,,,,,,,,,,20200317,57
Réunion,9,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Mayotte,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
"Subtotal for all 
regions",178399,11525,7419,475,,,,,,,,,,,,,,,,,,,20200317,57
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Grand total,179111,11525,7426,475,,,,,,,,,,,,,,,,,,,20200317,57
,,,,,,,,,,,,,,,,,,,,,,,20200317,57
,,,,,,,,,,,,,,,,,,,,,,,20200317,57
,,,,,,,,,,,,,,,,,,,,,,,20200317,57
